lemma	sense1	sense2	distLEX	distMW
angle	PWN-angle-n-2	PWN-angle-n-3	Inf	Inf
angle	PWN-angle-n-2	PWN-angle-n-1	1	3
angle	PWN-angle-n-3	PWN-angle-n-1	Inf	Inf
band	PWN-band-n-7	PWN-band-n-4	0	1
band	PWN-band-n-7	PWN-band-n-13	0	1
band	PWN-band-n-7	PWN-band-n-12	1	6
band	PWN-band-n-7	PWN-band-n-11	0	1
band	PWN-band-n-7	PWN-band-n-10	1	2
band	PWN-band-n-7	PWN-band-n-9	1	2
band	PWN-band-n-7	PWN-band-n-3	1	3
band	PWN-band-n-7	PWN-band-n-8	6	3
band	PWN-band-n-7	PWN-band-n-6	2	3
band	PWN-band-n-7	PWN-band-n-1	Inf	Inf
band	PWN-band-n-7	PWN-band-n-2	Inf	Inf
band	PWN-band-n-7	PWN-band-n-5	Inf	Inf
band	PWN-band-n-4	PWN-band-n-13	0	0
band	PWN-band-n-4	PWN-band-n-12	1	7
band	PWN-band-n-4	PWN-band-n-11	0	0
band	PWN-band-n-4	PWN-band-n-10	1	1
band	PWN-band-n-4	PWN-band-n-9	1	1
band	PWN-band-n-4	PWN-band-n-3	1	2
band	PWN-band-n-4	PWN-band-n-8	6	2
band	PWN-band-n-4	PWN-band-n-6	2	2
band	PWN-band-n-4	PWN-band-n-1	Inf	Inf
band	PWN-band-n-4	PWN-band-n-2	Inf	Inf
band	PWN-band-n-4	PWN-band-n-5	Inf	Inf
band	PWN-band-n-13	PWN-band-n-12	1	7
band	PWN-band-n-13	PWN-band-n-11	0	0
band	PWN-band-n-13	PWN-band-n-10	1	1
band	PWN-band-n-13	PWN-band-n-9	1	1
band	PWN-band-n-13	PWN-band-n-3	1	2
band	PWN-band-n-13	PWN-band-n-8	6	2
band	PWN-band-n-13	PWN-band-n-6	2	2
band	PWN-band-n-13	PWN-band-n-1	Inf	Inf
band	PWN-band-n-13	PWN-band-n-2	Inf	Inf
band	PWN-band-n-13	PWN-band-n-5	Inf	Inf
band	PWN-band-n-12	PWN-band-n-11	1	7
band	PWN-band-n-12	PWN-band-n-10	2	8
band	PWN-band-n-12	PWN-band-n-9	2	8
band	PWN-band-n-12	PWN-band-n-3	2	9
band	PWN-band-n-12	PWN-band-n-8	7	9
band	PWN-band-n-12	PWN-band-n-6	3	9
band	PWN-band-n-12	PWN-band-n-1	Inf	Inf
